postal_code,latitude,longitude
95762.0,38.685,-121.068
91732.0,34.0705,-118.0149
95758.0,38.4243,-121.437
95758.0,38.4243,-121.437
95758.0,38.4243,-121.437
92024.0,33.0535,-117.2689
92029.0,33.0895,-117.1128
92027.0,33.1388,-117.052
92026.0,33.1605,-117.0978
95501.0,40.7938,-124.1573
94533.0,38.2671,-122.0357
94533.0,38.2671,-122.0357
92028.0,33.369,-117.229
95630.0,38.6709,-121.1529
92337.0,34.0498,-117.4706
92337.0,34.0498,-117.4706
92336.0,34.1173,-117.4378
92336.0,34.1173,-117.4378
92335.0,34.0794,-117.4551
92336.0,34.1173,-117.4378
92337.0,34.0498,-117.4706
92335.0,34.0794,-117.4551
92610.0,33.6748,-117.6649
92310.0,35.2625,-116.6966
92708.0,33.7102,-117.9503
94538.0,37.5308,-121.9712
94538.0,37.5308,-121.9712
93706.0,36.6486,-119.9987
93705.0,36.7863,-119.8286
93721.0,36.7377,-119.7843
93726.0,36.7949,-119.7604
93726.0,36.7949,-119.7604
93722.0,36.7918,-119.8801
93727.0,36.7528,-119.7061
93722.0,36.7918,-119.8801
93720.0,36.8579,-119.7655
93720.0,36.8579,-119.7655
92832.0,33.868,-117.9265
92832.0,33.868,-117.9265
92840.0,33.7869,-117.9273
92843.0,33.7671,-117.929
92840.0,33.7869,-117.9273
92845.0,33.7787,-118.0267
92843.0,33.7671,-117.929
90247.0,33.8925,-118.2961
90247.0,33.8925,-118.2961
95020.0,37.0139,-121.5773
91204.0,34.1379,-118.2599
91201.0,34.1716,-118.2899
91740.0,34.1287,-117.8552
91344.0,34.2771,-118.4992
91344.0,34.2771,-118.4992
91745.0,33.9977,-117.9652
93230.0,36.3314,-119.6491
93230.0,36.3314,-119.6491
90250.0,33.9143,-118.3493
90250.0,33.9143,-118.3493
90250.0,33.9143,-118.3493
90250.0,33.9143,-118.3493
94541.0,37.674,-122.0894
94541.0,37.674,-122.0894
94541.0,37.674,-122.0894
92543.0,33.7416,-116.973
92544.0,33.739,-116.9243
92545.0,33.7399,-117.0151
92345.0,34.4222,-117.3025
92345.0,34.4222,-117.3025
92346.0,34.1283,-117.2087
90028.0,34.1005,-118.3254
92647.0,33.721,-118.0033
92648.0,33.6773,-118.0051
92647.0,33.721,-118.0033
92647.0,33.721,-118.0033
92646.0,33.6654,-117.9686
90255.0,33.9769,-118.2161
90255.0,33.9769,-118.2161
92201.0,33.7207,-116.2168
90302.0,33.9745,-118.3548
90303.0,33.9377,-118.3321
90301.0,33.955,-118.3556
90303.0,33.9377,-118.3321
92606.0,33.6951,-117.8224
92602.0,33.7419,-117.7467
90631.0,33.9331,-117.9493
91942.0,32.7835,-117.0189
91941.0,32.7604,-117.0115
90638.0,33.9067,-118.0101
91744.0,34.0289,-117.9373
91744.0,34.0289,-117.9373
92253.0,33.6685,-116.3081
91750.0,34.1159,-117.7708
92694.0,33.5472,-117.6238
92653.0,33.5916,-117.6985
92530.0,33.6598,-117.3485
92530.0,33.6598,-117.3485
92530.0,33.6598,-117.3485
92630.0,33.6437,-117.6868
90715.0,33.8405,-118.0767
90713.0,33.8473,-118.1115
93535.0,34.7131,-117.8783
93536.0,34.7471,-118.3687
93536.0,34.7471,-118.3687
93534.0,34.6909,-118.1491
95330.0,37.8209,-121.2827
93245.0,36.2682,-119.8173
93245.0,36.2682,-119.8173
95648.0,38.8942,-121.2908
95242.0,38.1308,-121.3345
90717.0,33.7938,-118.3172
93436.0,34.6583,-120.4506
90805.0,33.8635,-118.1801
90802.0,33.7706,-118.182
90813.0,33.782,-118.1835
90806.0,33.8045,-118.1876
90803.0,33.7619,-118.1341
90804.0,33.7857,-118.1357
90808.0,33.8241,-118.1103
90815.0,33.7939,-118.1192
90807.0,33.8315,-118.1811
90815.0,33.7939,-118.1192
90805.0,33.8635,-118.1801
90802.0,33.7706,-118.182
90044.0,33.9551,-118.2901
90037.0,34.003,-118.2863
90034.0,34.029,-118.4005
90059.0,33.9293,-118.2463
90001.0,33.9731,-118.2479
90006.0,34.0493,-118.2917
90015.0,34.0434,-118.2716
90035.0,34.0531,-118.3806
90047.0,33.9569,-118.3073
90007.0,34.0294,-118.2871
90026.0,34.0766,-118.2646
90016.0,34.0298,-118.3528
90041.0,34.1339,-118.2082
90063.0,34.0451,-118.1859
90016.0,34.0298,-118.3528
90008.0,34.0116,-118.3411
90004.0,34.0762,-118.3029
90063.0,34.0451,-118.1859
90065.0,34.1073,-118.2266
90011.0,34.0079,-118.2582
90008.0,34.0116,-118.3411
90029.0,34.09,-118.2944
90019.0,34.0482,-118.3343
90032.0,34.0818,-118.1753
90022.0,34.0245,-118.1561
90028.0,34.1005,-118.3254
90043.0,33.9871,-118.3321
90045.0,33.9631,-118.3941
90059.0,33.9293,-118.2463
90045.0,33.9631,-118.3941
90014.0,34.0443,-118.2509
90003.0,33.9653,-118.2727
93635.0,37.0627,-120.8544
93635.0,37.0627,-120.8544
93249.0,35.6163,-119.6943
90262.0,33.9241,-118.2013
90262.0,33.9241,-118.2013
93638.0,37.0402,-120.0335
93637.0,36.9403,-120.082
90266.0,33.8896,-118.3996
95336.0,37.8134,-121.2132
93933.0,36.6849,-121.7934
93933.0,36.6849,-121.7934
95901.0,39.1663,-121.5105
92584.0,33.6647,-117.1743
92584.0,33.6647,-117.1743
94025.0,37.4396,-122.1864
95348.0,37.3302,-120.508
95035.0,37.4352,-121.895
95035.0,37.4352,-121.895
91752.0,33.9938,-117.5236
92691.0,33.6128,-117.6622
92691.0,33.6128,-117.6622
95350.0,37.6746,-121.0113
95355.0,37.6717,-120.9482
95357.0,37.6693,-120.8817
95356.0,37.7005,-121.0252
90640.0,34.0133,-118.113
93940.0,36.5802,-121.8443
92557.0,33.9553,-117.2457
92555.0,33.9377,-117.1851
92551.0,33.8814,-117.2261
92553.0,33.9157,-117.2351
92551.0,33.8814,-117.2261
95037.0,37.1353,-121.6501
94043.0,37.4056,-122.0775
92562.0,33.5631,-117.2738
92562.0,33.5631,-117.2738
94559.0,38.2904,-122.2841
91950.0,32.6749,-117.0897
91950.0,32.6749,-117.0897
91950.0,32.6749,-117.0897
91320.0,34.1774,-118.9358
92660.0,33.6295,-117.8684
92860.0,33.9247,-117.5517
91343.0,34.2366,-118.4758
91606.0,34.1872,-118.3865
91602.0,34.151,-118.3663
91607.0,34.1672,-118.3989
91601.0,34.1687,-118.3713
91605.0,34.2057,-118.4001
91324.0,34.2367,-118.5466
91325.0,34.2353,-118.5188
90650.0,33.9056,-118.0818
90650.0,33.9056,-118.0818
90650.0,33.9056,-118.0818
94945.0,38.1163,-122.5714
94608.0,37.8365,-122.2804
92054.0,33.2072,-117.3573
92056.0,33.1968,-117.2831
92056.0,33.1968,-117.2831
92057.0,33.2407,-117.3025
91762.0,34.0584,-117.6665
91761.0,34.0316,-117.6187
91764.0,34.0763,-117.6254
91761.0,34.0316,-117.6187
91762.0,34.0584,-117.6665
92867.0,33.811,-117.8493
92865.0,33.8263,-117.8511
92865.0,33.8263,-117.8511
92869.0,33.7868,-117.7934
95965.0,39.6054,-121.5751
93033.0,34.1685,-119.1717
93036.0,34.2351,-119.182
93030.0,34.2141,-119.175
91331.0,34.2556,-118.4208
92264.0,33.8018,-116.517
93551.0,34.6017,-118.231
93550.0,34.4133,-118.0917
93550.0,34.4133,-118.0917
93552.0,34.5715,-118.0231
93552.0,34.5715,-118.0231
93551.0,34.6017,-118.231
94303.0,37.4673,-122.1388
91402.0,34.2262,-118.447
90723.0,33.8969,-118.1632
91104.0,34.1678,-118.1261
92571.0,33.811,-117.218
94952.0,38.2403,-122.6777
90660.0,33.9886,-118.0883
94564.0,37.9969,-122.2875
92870.0,33.8744,-117.8543
94523.0,37.954,-122.0737
94523.0,37.954,-122.0737
91766.0,34.0418,-117.7569
91767.0,34.0812,-117.7362
91766.0,34.0418,-117.7569
93041.0,34.1626,-119.1973
93257.0,36.0686,-119.0315
93257.0,36.0686,-119.0315
93257.0,36.0686,-119.0315
92064.0,32.9756,-117.0402
91701.0,34.1376,-117.5999
91730.0,34.107,-117.5941
92270.0,33.7643,-116.4225
96002.0,40.5486,-122.3339
92374.0,34.065,-117.1672
92374.0,34.065,-117.1672
92373.0,34.0397,-117.1804
94061.0,37.4647,-122.2304
94063.0,37.4815,-122.2091
94063.0,37.4815,-122.2091
91335.0,34.2007,-118.5391
91335.0,34.2007,-118.5391
92376.0,34.1132,-117.3771
92376.0,34.1132,-117.3771
92376.0,34.1132,-117.3771
94806.0,37.9724,-122.3369
94805.0,37.9417,-122.3238
93555.0,35.6225,-117.6709
92507.0,33.9761,-117.3389
92508.0,33.8897,-117.3043
92506.0,33.9455,-117.3757
92506.0,33.9455,-117.3757
92503.0,33.9208,-117.4589
92501.0,33.9924,-117.3694
92505.0,33.9228,-117.4867
92509.0,34.0033,-117.445
92505.0,33.9228,-117.4867
92503.0,33.9208,-117.4589
95677.0,38.7877,-121.2366
95765.0,38.8136,-121.2677
93560.0,34.8664,-118.3409
91770.0,34.0658,-118.0853
91770.0,34.0658,-118.0853
95661.0,38.7346,-121.234
91748.0,33.9818,-117.8969
95814.0,38.5804,-121.4922
95825.0,38.5892,-121.4057
95825.0,38.5892,-121.4057
95834.0,38.6383,-121.5072
95842.0,38.6865,-121.3494
95833.0,38.6157,-121.5053
